target,fold_id,model_name,n_obs,n_pos,AUROC,AUPRC,top_decile_capture,top_quintile_capture,brier
label_a_abs,10,naive_drawdown_baseline,1188,38,0.7492677345537757,0.0683557871267781,0.13157894736842105,0.47368421052631576,0.1368676307393622
label_a_abs,10,naive_momentum_vol_baseline,1188,38,0.45324942791762013,0.06782853827273898,0.10526315789473684,0.10526315789473684,0.07496843917893725
label_a_abs,10,macro_only_logit,1188,38,0.6449885583524028,0.04319170209358397,0.0,0.0,0.03102779627172036
label_a_abs,10,price_relative_logit,1188,38,0.47693363844393594,0.06882452615418769,0.10526315789473684,0.10526315789473684,0.07488651152815969
label_a_abs,10,price_macro_logit,1188,38,0.6258810068649886,0.05806286445209653,0.10526315789473684,0.18421052631578946,0.054292904584919345
label_a_abs,11,naive_drawdown_baseline,1199,157,0.6720818033018029,0.2745088368786428,0.22929936305732485,0.39490445859872614,0.1286718658681166
label_a_abs,11,naive_momentum_vol_baseline,1199,157,0.7229543870802108,0.25902464951719834,0.25477707006369427,0.4267515923566879,0.11801617680348443
label_a_abs,11,macro_only_logit,1199,157,0.5812071347359927,0.17032765865690852,0.1592356687898089,0.27388535031847133,0.11627862753862563
label_a_abs,11,price_relative_logit,1199,157,0.7235595437485483,0.2617802391247651,0.2484076433121019,0.4394904458598726,0.11799139800158284
label_a_abs,11,price_macro_logit,1199,157,0.7637260535227454,0.3236950554394834,0.3184713375796178,0.45222929936305734,0.10539653715107578
label_a_abs,12,naive_drawdown_baseline,1192,85,0.6932568149210904,0.13275225894474826,0.25882352941176473,0.4235294117647059,0.15602289396438304
label_a_abs,12,naive_momentum_vol_baseline,1192,85,0.7576279292204686,0.16089598555901244,0.29411764705882354,0.4823529411764706,0.07597864761110065
label_a_abs,12,macro_only_logit,1192,85,0.34269621127583827,0.05141932599774147,0.03529411764705882,0.11764705882352941,0.07734213313618721
label_a_abs,12,price_relative_logit,1192,85,0.7591051596790478,0.16093646993791155,0.29411764705882354,0.49411764705882355,0.07624424244820972
label_a_abs,12,price_macro_logit,1192,85,0.7768744354110207,0.18231776731790797,0.3411764705882353,0.5411764705882353,0.10220777460409233
label_a_abs,13,naive_drawdown_baseline,1188,24,0.6692797823596792,0.06704842231979229,0.4166666666666667,0.5,0.12130825810591611
label_a_abs,13,naive_momentum_vol_baseline,1188,24,0.7092640320733105,0.07813733076316828,0.4166666666666667,0.5,0.021754830480753422
label_a_abs,13,macro_only_logit,1188,24,0.5673324742268041,0.03091674864418148,0.08333333333333333,0.25,0.047046814726404707
label_a_abs,13,price_relative_logit,1188,24,0.7080111683848798,0.07696919941828499,0.4166666666666667,0.5,0.021700713352574758
label_a_abs,13,price_macro_logit,1188,24,0.7701174112256587,0.07857740668848384,0.3333333333333333,0.5833333333333334,0.04206266866894347
label_a_abs,14,naive_drawdown_baseline,1782,82,0.6399103299856528,0.11363607995948172,0.23170731707317074,0.32926829268292684,0.13383587257979973
